"","County","D303_Percent","SEWAGENPDESperKM","INDNPDESperKM","STORMNPDESperKM","numDays_Close_Activity_tot","numDays_Cont_Activity_tot","numDays_Rain_Activity_tot","Per_TotPopSS_ave","CaAve","MgAve","Kave","NaAve","NH4Ave","NO3Ave","ClAve","SO4Ave","HgAve","AvgOfD3_ave","As","Ba","Cd","Cr","CN","FL","HG","NO3","NO2","SE","SB","BE","TI","ENDRIN","LINDANE","METHOXYCHLOR","TOXAPHENE","DALAPON","DEHA","OXAMYL","SIMAZINE","DEHP","PICLORAM","DINOSEB","HCCPD","CARBOFURAN","ATRAZINE","ALACHLOR","HEPTACHLOR","HEPTACHLOR_EPOX","24D","HCB","BENZOAP","PCP","124TCIB","PCB","DBCP","EDB","XYLENES","CHLORDANE","DCM","ODCB","PDCB","VCM","11DCE","T12DCE","EDC","111TRICHLORANE","CCL4","PDC","TRICHLORENE","112TCA","C2CL4","BENZENE","CL1BENZ","TOLUENE","ETHYLBENZ","STRYENE","DCE","ALPHA","SILVEX","Instances","Instance Rate"
"68","Orange",1.8,1.11,168.11,5.57,0,0,0,20.33,0.0821,0.0285,0.095,0.1275,0.2577,0.9041,0.2553,1.4549,5.3299,6.35,0.005,0.18,0.001,0.013,0.018,0.44,0,0.82,0.06,0.005,0.003,0,0.001,0.01,0.18,0.1,1,1,0.65,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.69,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.31,0.2,"751",473.5
"69","Pamlico",3.17,0,24.08,0,0,64,0,27.11,0.0961,0.0699,0.0968,0.5173,0.1819,0.6661,0.916,0.9722,3.4366,0,0.005,0.18,0.001,0.009,0.04,0.43,0,1.29,0,0.01,0.003,0,0.001,0.01,0.18,0.1,1,1.86,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.18,0.5,0.1,0.02,0.01,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,0.2,"111",458.7
"70","Pasquotank",7.44,0,56.29,4.02,0,0,0,19.21,0.1007,0.0967,0.1564,0.4367,0.1583,0.7592,0.7563,1.164,3.6881,0.07,0.005,0.01,0.001,0.005,0.034,0.98,0,0.55,0.12,0.005,0.001,0,0.001,0.01,0.01,0.1,1,1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.2,"177",351.8
"71","Pender",5.96,20.32,18.35,0,0,0,0,71.5,0.0903,0.0617,0.1009,0.3175,0.2177,0.7194,0.5464,1.11,3.6825,0,0.005,0.14,0.001,0.009,0.047,0.11,0,0.45,0.05,0.007,0.003,0,0.001,0.01,0.14,0.1,1,1,0.6,2,0.07,7.36,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.15,0.1,0.02,0.04,0.5,0.1,0.02,0.01,6.25,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.1,0.5,0.5,3,0.2,"358",432.4
"72","Perquimans",5.58,1.53,13.75,0,0,0,0,8.93,0.1015,0.0893,0.1508,0.3497,0.1611,0.7098,0.5914,1.0879,3.6781,0.02,0.005,0.1,0.001,0.005,0.04,0.21,0,1.21,0,0.01,0.003,0,0.001,0.01,0.1,0.1,1,1.7,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.14,0.5,0.1,0.02,0.01,0.65,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.2,"76",328.4
"73","Person",1.88,1.07,73.83,1.07,0,0,0,72.12,0.0782,0.0287,0.0879,0.1153,0.224,0.8821,0.2338,1.3702,5.6692,7.23,0.005,0.21,0.001,0.013,0.017,0.33,0,0.48,0.05,0.005,0.004,0,0.001,0.01,0.21,0.1,1,1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,1.49,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.65,0.9,0.5,3,0.2,"284",511.5
"74","Pitt",9.13,23.14,41.21,3.39,0,0,0,14.57,0.0867,0.0388,0.0823,0.2555,0.2114,0.7569,0.4633,1.1414,3.7012,0,0.005,0.4,0.001,0.02,0.04,0.99,0,1,0.01,0.01,0.003,0,0.001,0.01,0.4,0.1,1,1.72,0.6,2,0.07,1.58,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.83,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.23,0.2,"821",441.2
"75","Polk",NA,0,40.12,0,0,0,0,63.36,0.0818,0.0202,0.0854,0.0654,0.1634,0.6897,0.1235,1.1683,6.2301,12.06,0.009,0.02,0.001,0.009,0.012,0.12,0,0.8,0.08,0.018,0.003,0,0.001,0.01,0.02,0.1,1,1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.2,"176",486.8
"76","Randolph",1.88,2.67,45.01,2.67,0,0,0,49.87,0.091,0.028,0.107,0.1131,0.2559,0.9157,0.2347,1.5666,5.5015,7.69,0.004,0.1,0.001,0.012,0.011,0.46,0,0.95,0.11,0.006,0.003,0,0.001,0.01,0.1,0.1,1,1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,10.2,0.2,0.5,0.5,0.5,0.5,0.67,0.5,0.5,1.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.57,1.47,0.5,0.5,2.57,0.2,"961",501
"77","Richmond",4.7,5.28,27.29,1.76,0,0,0,21.4,0.0857,0.0252,0.0821,0.1442,0.2484,0.9085,0.2752,1.4312,4.5676,7.31,0.005,0.16,0.001,0.011,0.027,0.51,0,1.33,0.08,0.008,0.002,0,0.001,0.01,0.16,0.1,1,1.78,0.6,2,0.07,1.32,0.1,0.2,0.113,0.9,0.1,0.2,0.04,0.02,0.17,0.1,0.02,0.04,0.5,0.1,0.02,0.04,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,0.2,"286",485.7
