"","County","pct_rent_occ","pct_vac_units","med_hh_value","med_hh_inc","pct_pers_lt_pov","pct_no_eng","pct_hs_more","pct_unemp","work_out_co","med_rooms","pct_mt_10units","violent_rate","Instances","Instance Rate"
"74","Pitt",41.87366,10.04828,96800,32868,20.3,6,79.9,6.8,14.1,5.1,12.3,891,"821",441.2
"75","Polk",21.37076,13.96867,112000,36259,10.1,5.9,80.6,4.1,49.7,5.5,4.5,628.41133,"176",486.8
"76","Randolph",23.42328,6.914483,94700,38348,9.1,7.8,70,3.1,41.3,5.2,2.2,236.60001,"961",501
"77","Richmond",27.99194,10.1227,59300,28830,19.6,4.5,69.2,6.9,25.5,5.3,0.7,0,"286",485.7
"78","Robeson",27.24088,8.585361,66100,28202,22.8,6.8,64.9,9.6,28.1,5.2,1.6,1535.2,"663",430
"79","Rockingham",26.31864,8.00587,81400,33784,12.8,4.7,68.9,5.8,38.7,5.2,2.1,0,"624",461.3
"80","Rowan",26.43773,7.484253,95200,37494,10.6,5.8,74.2,6.3,32.5,5.3,2.8,731.20001,"960",517.1
"81","Rutherford",25.50117,14.70797,77600,31122,13.9,3.3,70.4,6,21.2,5.2,1,0,"464",454.1
"82","Sampson",26.53437,11.41118,76700,31793,17.6,11.2,69.1,6.9,36.8,5.4,0.6,0,"388",468.4
"83","Scotland",30.8829,8.806915,73200,31010,20.6,3,71.4,9.9,25.9,5.3,1.7,731.40002,"184",412.7
"84","Stanly",23.75017,9.596453,87700,36898,10.7,4.7,73.4,4.5,31.8,5.3,1.1,833,"410",491.6
"85","Stokes",17.95324,8.737411,94700,38808,9.1,3.6,73.2,5.9,70.8,5.3,1,0,"311",450.5
"86","Surry",23.65883,8.458737,87500,33046,12.4,8.1,67,3.4,25.8,5.1,1.9,0,"513",489.3
"87","Swain",23.12634,27.6988,86800,28608,18.3,5.3,70.5,10.1,28.5,5.1,0.1,528.79279,"96",496.9
"88","Transylvania Coun",20.58442,20.78699,122300,38587,9.5,4,82.5,4.9,21.6,5.5,0.7,594.17773,NA,NA
"89","Tyrrell",25.17892,24.36024,59000,25684,23.3,5.7,66.3,6.1,39.8,5.1,0.3,520.67948,"29",510.4
"90","Union",19.43535,5.044315,128500,50638,8.1,8.3,80.2,4.3,46.7,5.8,1.1,0,"1,222",482.1
"91","Vance",33.78604,10.97494,82200,31301,20.5,5.8,68.1,8.3,29.9,5.2,1.9,0,"282",474.6
"92","Wake",34.11998,6.531301,162900,54988,7.8,12.2,89.3,3.9,19.5,5.6,12.3,319.6875,"5,269",480.8
"93","Warren",22.78153,26.92454,80500,28351,19.4,4.7,67.5,8.3,55.1,5.5,1.1,605.25849,"153",473.3
"94","Washington",26.45798,13.07094,69400,28865,21.8,3.4,69.9,7.1,32.6,5.6,0,716.70001,"72",361.5
"95","Watauga",37.14631,28.56834,139300,32611,17.9,4.6,81.6,8.2,13.8,5.2,9.4,122.1,"254",396.7
"96","Wayne",34.69915,9.935959,87600,33942,13.8,7.2,77.2,6.3,18.5,5.3,1.9,783,"732",486.9
"97","Wilkes",22.05253,8.92314,89200,34258,11.9,5,66,3.8,21.8,5.2,1.1,0,"475",460.2
"98","Wilson",38.79705,6.886003,86400,33116,18.5,8.1,69.4,7.2,20.2,5.2,2.9,764.70001,"471",431.2
"99","Yadkin",19.74492,8.318058,90600,36660,10,7.3,72,3.1,56.1,5.2,0.7,0,"252",464.6
"100","Yancey",19.78051,23.19868,93000,29674,15.8,3.9,71.1,4.5,34.5,5.2,1.4,538.62687,"145",480.5
