"","County","HWYPROP","RYPROP","fatal_rate","pct_pub_transport","rate_al_pn_gm_env","rate_ent_env","rate_ed_env","rate_food_env_neg","rate_food_env_pos","rate_hc_env","rate_rec_env","rate_trans_env","rate_civic_env","to_unit_rate"
"108","Yavapai",0.04085993,0.12447227,0.0010865,0.3,0.0003582,0.0008895,0.0005731,0.0007701,0.0023401,0.0045727,0.0003403,0.0001075,0.0000537,0
"109","Yuma",0.07041349,0.07839245,0.0003562,1.1,0.0002687,0.0002625,0.0003062,0.0005249,0.0012373,0.0020559,0.0001125,0.000125,0.0000375,0.0120793
"110","Arkansas",0,0.11629776,0.0006747,0.1,0.0005783,0.0003856,0.0007711,0.0007711,0.001976,0.0026989,0.0003856,0.0000964,0.0001928,0.0275676
"111","Ashley",0.05119179,0.05158102,0.0001652,0.1,0.0002065,0.0001239,0.0008261,0.0009914,0.0018588,0.0019827,0.0002065,0.0001239,0.0000413,0.0142096
"112","Baxter",0.02221855,0.10921414,0.0005992,0.1,0.0004689,0.0004429,0.0003647,0.0012505,0.0019799,0.0034127,0.001016,0.0002084,0.0001042,0
"113","Benton",0.02018806,0.09832482,0.000528,0.2,0.0001304,0.0003455,0.0006193,0.0007301,0.0012972,0.0023141,0.0002477,0.0000521,0.0000652,0.0091783
"114","Boone",0.04910112,0.09127262,0.0005302,0.1,0.0001767,0.000707,0.0008542,0.0009426,0.001738,0.003417,0.0004419,0.0001178,0.0001178,0.0365559
"115","Bradley",0,0.12402103,0.0006349,0,0.0002381,0.0001587,0.0011111,0.0005556,0.0019841,0.0019841,0.0002381,NA,0.0001587,0.0188889
"116","Calhoun",0.03072852,0.1001456,0.0006964,0.3,0.0003482,0.0001741,0.0001741,0.0003482,0.0006964,0.0010446,0.0003482,NA,NA,0
"117","Carroll",0.01498726,0.12952169,0.0003944,0.1,0.0008282,0.0012225,0.0013014,0.0011042,0.0037071,0.0026423,0.0003944,0.0001183,0.0000394,0
"118","Chicot",0.09438685,0.10811843,0.0012042,0.7,0.0005667,0.0002125,0.00085,0.0006375,0.002621,0.0028335,0.0000708,0.0000708,NA,0.0162924
"119","Clark",0.03493915,0.15451775,0.0006371,0.3,0.0001274,0.0003822,0.0008494,0.000722,0.0018262,0.0025057,0.0003398,0.0000425,0.0000425,0.0148645
"120","Clay",0.01522244,0.12823379,0.0008518,0.1,0.0001136,0.0001704,0.0006815,0.0009654,0.0012494,0.0017037,0.0001704,0.0000568,0.0000568,0.0141973
"121","Cleburne",0,0.1507807,0.0004575,0.1,0.0002079,0.0005822,0.0004575,0.0008317,0.0024536,0.0023289,0.0008733,0.0000832,0.0000832,0.0029111
"122","Cleveland",0.01015988,0.11825307,0.0002333,0.1,0.0004667,NA,0.0007,0.0002333,0.0005834,0.0007,0.0001167,NA,NA,0.0039669
"123","Columbia",0.02505209,0.2032119,0.000664,0.6,0.0001562,0.0001953,0.0011717,0.0011717,0.0021482,0.0022654,0.0003906,0.0000391,0.0000781,0.0145686
"124","Conway",0.0375983,0.17282653,0.0005901,0.1,0.000836,0.0003442,0.0007376,0.0009835,0.0017703,0.001967,0.0003442,0.0000983,0.0000983,0.0437156
"125","Craighead",0.02473384,0.14866484,0.0002191,0.1,0.0002678,0.0003774,0.0008156,0.0008156,0.0017286,0.0036398,0.0002678,0.0001096,0.0001339,0.0195501
"126","Crawford",0.07172805,0.11608788,0.0003944,0.3,0.0001127,0.000169,0.0004883,0.000939,0.0011268,0.0016527,0.000169,0.0000376,0.0000188,0.0054463
"127","Crittenden",0.0755126,0.17010601,0.0005111,0.5,0.0003146,0.000118,0.0006488,0.000865,0.0016514,0.0021822,0.0000393,0.0000197,0.000059,0.0202689
"128","Cross",0,0.1802155,0.0003073,0.2,0.0004097,0.0001024,0.0010755,0.0009218,0.0018437,0.0017413,0.0004097,0.0001024,0.0001024,0.0193588
"129","Dallas",0.0159313,0.14934809,0.0001086,0.4,0.00076,0.0002172,0.00076,0.0013029,0.0011944,0.0022801,0.0001086,NA,0.0002172,0.0034745
"130","Desha",0.03998396,0.09747706,0.0007822,0,0.0005867,0.0001956,0.001043,0.000717,0.0022163,0.0025422,0.0002607,NA,NA,0.0323317
"131","Drew",0.00982485,0.12944799,0.0006409,0.2,0.0004273,0.0003205,0.0009614,0.0009614,0.0024569,0.0026171,0.0005875,0.0001068,0.0001068,0.0142605
"132","Faulkner",0.04153903,0.10203656,0.0006162,0.2,0.0001744,0.0004534,0.0008138,0.0008371,0.001709,0.0024066,0.0003255,0.0000116,0.0000698,0.0052782
"133","Franklin",0.03390499,0.1233728,0.0005064,0.2,0.0006753,0.0002814,0.0011254,0.0005064,0.0012942,0.0017444,0.0000563,0.0000563,NA,0
"134","Fulton",0.04160901,0.07981428,0.0007731,0.1,0.0001718,0.0002577,0.0003436,0.0004295,0.0009449,0.0019756,NA,NA,NA,0.0061845
"135","Garland",0.01722337,0.14544942,0.0004088,1,0.0006472,0.0004769,0.0005337,0.0009879,0.0020098,0.0048939,0.0005564,0.0000681,0.0000568,0.0117296
"136","Grant",0.04438735,0.09629849,0.0005466,0.2,0.000243,0.0001822,0.0004252,0.0009111,0.0012755,0.0015792,0.0000607,NA,NA,0
"137","Greene",0.00029635,0.12417838,0.0002143,0.1,0.000509,0.0001339,0.0008036,0.0007768,0.0015805,0.0023841,0.0002679,0.0000268,0.0001071,0.0192869
"138","Hempstead",0.03781666,0.18291972,0.0011871,0.2,0.0003816,0.0003816,0.0004664,0.0005935,0.0020774,0.0023318,0.0001272,0.0001696,0.0001696,0.0161106
"139","Hot Spring",0.04957836,0.13111064,0.0004612,0.2,0.0000988,0.0002965,0.0003295,0.0007578,0.001186,0.001812,0.0002636,0.0000329,0.0000659,0.0055678
"140","Howard",0,0.11881185,0.0005594,0.1,0.0002098,0.0000699,0.0006294,0.0012587,0.0016084,0.0032168,0.0001399,NA,0.0003497,0.0167133
"141","Independence",0.02239303,0.11896531,0.0007887,0.1,0.0002629,0.0002045,0.0008179,0.0008763,0.0014898,0.0032717,0.0002337,0.0000292,0.0000876,0.0020448
"142","Izard",0,0.13298185,0.0006038,0.3,0.000151,0.0000755,0.0003019,0.0006038,0.0015095,0.001585,0.0002264,NA,NA,0.1375198
"143","Jackson",0.05438216,0.14176103,0.0002172,0.2,0.0007058,0.0000543,0.0009773,0.0006515,0.0020089,0.0031491,0.0001086,0.0000543,NA,0.014551
"144","Jefferson",0.05060229,0.17719071,0.0004628,0.5,0.0006289,0.0003678,0.0012103,0.0009255,0.0017205,0.0029545,0.0001661,0.0001068,0.0000949,0.0127554
"145","Johnson",0.042104,0.13018124,0.0005268,0.1,0.0002195,0.0001317,0.0005268,0.000834,0.0016681,0.0018436,0.0002634,NA,0.0000878,0.0179097
