"","County","pct_rent_occ","pct_vac_units","med_hh_value","med_hh_inc","pct_pers_lt_pov","pct_no_eng","pct_hs_more","pct_unemp","work_out_co","med_rooms","pct_mt_10units","violent_rate"
"821","Franklin",25.20661,8.545034,55200,36042,8,7.4,84,4.1,31.7,6.2,1.4,241.54835
"822","Fremont",25.53923,8.964144,64400,38345,9.5,4.1,85,2.8,45.2,5.9,0.5,361.18549
"823","Greene",24.42331,9.041748,51800,33883,8.1,4,85.6,4.8,28.7,5.9,1.7,294.42553
"824","Grundy",20.32504,6.033183,72500,39396,4.6,4,86.5,3.6,45.8,6.1,0.2,273.92331
"825","Guthrie",20.44818,15.10884,61800,36495,8,2.9,85.4,3.8,47.2,5.9,0.8,288.55055
"826","Hamilton",27.2116,5.506919,70500,38658,6.3,4.4,87.3,2.5,24.9,6,3,256.05337
"827","Hancock",21.81439,7.145624,59600,37703,6,4.7,85.8,2.7,35.2,6.1,2,236.27756
"828","Hardin",25.41951,8.295263,57200,35429,8,4.3,85.7,4.4,21.8,6,1.4,267.02898
"829","Harrison",23.41783,7.376553,74900,38141,7.1,2,85,4.3,45.4,5.9,2.2,311.30047
"830","Henry",26.89483,7.518797,76700,39087,8.8,4.5,86.1,4.4,20.4,5.7,3.6,418.29727
"831","Howard",20.81027,8.158077,59500,34641,9.3,5.6,79.3,3.4,23.8,6.1,1.4,213.57005
"832","Humboldt",24.0745,7.534984,71700,38201,8.3,2.8,86.3,3.5,27.7,6.2,1.6,227.22151
"833","Ida",26.76626,8.357102,55500,34805,8.8,3,85,3.9,19.7,6.2,2.3,301.04347
"834","Iowa",22.13208,5.836516,85600,41222,5,4.8,87,2.3,31.1,6.1,1.7,373.64214
"835","Jackson",24.15202,9.732931,76500,34529,10.3,2.5,81.5,3.7,36.2,5.7,2.1,307.20713
"836","Jasper",24.26305,6.194521,82500,41683,6.5,3.1,86.8,3.1,30.6,5.6,7,134.3
"837","Jefferson",32.63649,8.175667,72500,33851,10.9,5.3,88.1,4.1,13.3,5.6,3.9,397.1697
"838","Johnson",43.3167,3.820558,131500,40060,15,10.5,93.7,3.9,14.1,5.2,19.6,394.54999
"839","Jones",24.15344,6.965297,80400,37449,8.6,3.4,85.3,3.9,41.3,6.1,3.4,357.91097
"840","Keokuk",21.17314,8.517854,51900,34025,10.1,1.4,84,3.9,49.5,6,0.6,378.39615
"841","Kossuth",22.41182,8.297173,54300,34562,10.2,3,85.6,3.8,19.4,6.2,1.9,234.22011
"842","Lee",24.52345,8.73465,60300,36193,9.7,3.4,83.6,5.8,18.4,5.4,5.5,780.70001
"843","Linn",27.2719,4.715025,99400,46206,6.5,4.8,90.6,3.5,8.2,5.6,10.4,354
"844","Louisa",22.68201,11.96182,66600,39086,9.3,13,79.7,4.3,53.2,5.6,1.1,406.58376
"845","Lucas",21.64786,10.09672,50900,30876,13.7,4.5,79.1,4.9,27.1,5.5,3.3,269.70864
"846","Lyon",18.2701,6.935687,64000,36878,7,4.6,78.7,2.4,37.6,6.3,2,267.55444
"847","Madison",22.02403,5.917682,87700,41845,6.7,1.7,87.6,4.2,52.9,5.9,2,267.08016
"848","Mahaska",28.94144,7.025443,68100,37314,9.8,3.4,82.6,4.5,37.9,5.5,4,164
"849","Marion",24.46534,5.785966,88300,42401,7.6,4.4,84,3.4,20.7,5.7,4.7,201.29999
"850","Marshall",26.24201,6.040186,71200,38268,10.2,10.6,82.3,4.4,16.3,5.7,6.1,854.29999
"851","Mills",20.52968,6.11885,92900,42428,8.3,1.8,83.2,4.9,49.9,6,2.5,338.11276
"852","Mitchell",18.53749,6.530257,66500,34843,10.7,4.1,84.4,3.1,26.7,6.3,1.2,224.38922
"853","Monona",23.77108,9.635193,54400,33235,9.4,1.8,81.7,3.8,30.3,5.9,2.6,302.86569
"854","Monroe",21.49938,10.03344,52400,34877,9,3.3,82.2,3.7,41.5,5.6,2.1,310.69315
"855","Montgomery",26.77036,9.50176,55900,33214,9.1,2.6,81.8,5,19,5.8,2.3,314.7791
"856","Muscatine",24.61665,5.593947,84700,41803,8.9,11.7,80.3,3.9,19.5,5.6,4,741.90002
"857","O'Brien",23.16281,7.804578,58300,35758,7.3,4.2,80.7,3,26.8,6,3.2,275.41714
"858","Osceola",22.24622,7.768924,53400,34274,7,3.1,81.1,3.3,32.2,6.3,1.2,271.82654
"859","Page",28.3393,8.134758,60000,35466,12.5,2.7,85.5,6,21.1,5.9,6.2,316.78889
"860","Palo Alto",26.00146,11.05593,53500,32409,10.6,3,83.7,2.1,24.7,6.1,2.4,268.73232
"861","Plymouth",22.58856,5.1417,88200,41638,6,3.1,87.4,1.9,34.4,6.3,3.7,278.00096
"862","Pocahontas",20.846,9.302909,40400,33362,9.1,2.7,86.6,3.3,27.6,6.4,0.4,272.62491
"863","Polk",31.17724,4.688489,103100,46116,7.9,8.9,88.3,4.7,5.9,5.3,17.2,199.45
"864","Pottawattamie Cou",28.93275,5.360589,84900,40089,8.4,4.5,84,4.1,44.4,5.4,9.3,892.70001
"865","Poweshiek",28.14274,13.53436,81600,37836,9.8,4.1,86.7,5,18.9,5.8,4.9,341.7429
"866","Ringgold",24.45434,19.5052,45000,29110,14.3,5.1,82.8,4.1,26.4,5.5,1.4,292.40983
"867","Sac",23.24062,13.07692,50000,32874,9.9,2.8,84.2,3.1,31.8,6.1,1.4,278.47882
"868","Scott",29.49273,5.049582,92400,42701,10.5,5.6,86.3,5.2,23.5,5.6,9.4,962.09998
"869","Shelby",22.94607,5.239055,73800,37442,6,3,86.6,2.6,25.9,6.4,2.5,311.39554
"870","Sioux",19.62031,5.035524,84700,40536,6.4,5.7,80.4,1.8,10.4,6.3,2.6,267.59937
"871","Story",41.72481,4.071172,115800,40442,14.1,9.4,93.5,4.4,16.4,5.4,16.5,263.20001
"872","Tama",22.44229,7.450877,64200,37419,10.5,8.2,84.2,4,38.5,6.1,2.9,341.87988
"873","Taylor",23.37111,11.72241,37900,31297,12.1,4.6,83.3,3.9,41,5.9,0.7,288.90438
"874","Union",27.96642,7.336044,55600,31905,11.4,2.7,87.3,3.9,14.4,5.6,1.8,17.6
"875","Van Buren",20.65388,11.17006,43100,31094,12.7,5.2,82.7,3.7,39.4,5.7,0.3,401.12184
"876","Wapello",24.36418,6.860707,50100,32188,13.2,3.8,81.5,6.7,17.4,5.2,4.3,705.5
"877","Warren",20.1115,3.800118,102000,50349,5.1,2.9,90,3.5,65.5,5.9,8.1,130.3
"878","Washington",24.66485,5.700573,83600,39103,7.6,6.6,82.5,2.6,38.2,6,3.6,402.94103
"879","Wayne",20.48919,15.96664,35600,29380,14,2.4,83.9,4,33.3,5.6,0.1,275.49578
"880","Webster",28.77567,6.429371,66000,35334,10,4.5,84.2,4.3,13.5,5.6,6.2,761.09998
"881","Winnebago",23.89977,6.238894,61200,38381,8.4,4.9,87.3,3,21.4,6,2.6,235.97323
"882","Winneshiek",26.42876,5.774854,86000,38908,8,5.2,84.1,4.5,14.4,6.1,2,211.67171
"883","Woodbury",31.39639,5.41866,76400,38509,10.3,11.8,81.4,4.2,21.4,5.4,8.9,636.5
"884","Worth",20.9579,7.243916,55900,36444,8.3,3.5,86,3.8,54.6,6.1,1.4,228.27567
"885","Wright",25.89226,9.437414,52500,36197,7,6.4,84.4,3.7,21.6,5.8,4.3,236.75675
"886","Allen",25.10822,10.45123,40900,31481,14.9,3.3,83.1,4.3,20.3,5.4,2.7,425.53795
"887","Anderson",20.02484,10.42825,49300,33244,12.8,3.9,81.9,3.7,39,5.7,2.6,448.13418
"888","Atchison",26.53386,7.964212,56500,34355,13.3,2.4,84.7,6.2,22.7,5.6,5.7,319.29999
