"","County","PCT_HARVEST_ACRES","pct_irrigated_acres","farms_per_acres","pct_manure_acres","PCT_NEMATODE_ACRES","PCT_DISEASE_ACRES","PCT_DEFOLIATE_ACRES","PCT_AU","Herbicides","Fungicides","Insecticides","MEAN_AS","MEAN_SE","MEAN_HG","MEAN_PB","MEAN_ZN","MEAN_CU","MEAN_NA__PCT","MEAN_MG_PCT","MEAN_TI_PCT","MEAN_CA_PCT","MEAN_FE_PCT","MEAN_AL_PCT","MEAN_P_PCT","Facilities_per_pop","RADON_ZONE","Instances"
"48","Hyde",0.096777344,0.012198253,0.00000988,0.0000636412,0.003991836,0.005681619,0.018756584,0.0420987,110681.3658,452.1564,10630.84126,1.865,0.315,0.045,20.583,33.039,5.245,1.291,0.281,0.538,0.793,1.558,5.038,0.027,0.000343289,3,"22"
"49","Iredell",0.146160659,0.027499016,0.000201525,0.039231964,0.002417349,0.00181896,0.000531642,0.008301349,19665.25553,222.9258,1773.95752,1.88,0.161,0.046,30.566,58.568,14.78,0.426,0.481,0.761,0.938,3.275,4.907,0.044,0.000652209,2,"832"
"50","Jackson",0.012032356,0.005921385,0.0000884732,0.0000600354,0.000619312,0.00234138,0,0.233436829,17.7378,9.52,4.0911,1.213,0.149,0.023,26.284,54.387,15.861,1.092,0.521,0.697,1.135,3.3,5.987,0.038,0.0000603847,2,"203"
"51","Johnston",0.216257194,0.119085673,0.000453559,0.011949604,0.063333291,0.011486228,0.037203596,0.049000421,74982.08626,392.8148,4202.20056,3.117,0.22,0.057,19.463,19.66,6.921,0.153,0.066,0.551,0.193,1.266,2.205,0.017,0.000327963,3,"781"
"52","Jones",0.163733706,0.076448016,0.000125444,0.011950161,0.02406868,0.027350022,0.06858798,0.281812841,28324.54341,303.6344851,2582.01031,1.692,0.131,0.019,16.386,21.807,2.224,0.06,0.037,0.613,0.406,0.642,0.941,0.023,0.00028899,3,"58"
"53","Lee",0.085972747,0.146097636,0.000554313,0.014574818,0.011417644,0.003476507,0.007525402,0.072893247,9322.98704,60.2364,567.1591,4.943,0.115,0.035,17.084,27.776,10.109,0.393,0.159,0.5,0.468,1.771,2.412,0.018,0.000836052,3,"325"
"54","Lenoir",0.336021631,0.115191095,0.00030699,0.022184865,0.079782356,0.048679245,0.121249285,0.110045178,63253.85325,298.2426,5652.03721,2.537,0.312,0.041,16.729,16.531,3.831,0.028,0.043,0.634,0.084,0.683,1.07,0.03,0.000385595,3,"374"
"55","Lincoln",0.118076817,0.018142568,0.000234098,0.009903348,0.0000763362,0.000916034,0.002067523,0.066981774,9527.708692,563.4638255,767.1178917,4.382,0.116,0.035,25.851,40.884,10.412,0.336,0.372,0.568,0.555,2.444,4.207,0.033,0.000313578,2,"442"
"56","McDowell",0.019562314,0.008977874,0.0000770032,0.002796616,0.0000630026,0.00049002,0.000455019,1.297212161,824.8994233,9.52,82.72002048,1.378,0.113,0.068,17.061,50.264,10.068,0.449,0.408,0.6,0.726,2.79,4.323,0.026,0.000545657,2,"296"
"57","Macon",0.016218453,0.006184188,0.0000872283,0.002872519,0.000288756,0.000369968,0.0000150394,0.023178032,219.33468,28.56,31.9151,1.32,0.186,0.037,21.977,73.156,15.512,0.671,0.549,0.819,0.665,4.249,5.169,0.044,0.000201268,2,"258"
"58","Madison",0.034181309,0.015071747,0.00022144,0.001034539,0.00024566,0.0006055,0,0.080414255,331.71084,28.56,45.2022,1.782,0.165,0.035,24.875,65.414,11.254,0.938,0.624,0.707,1.577,3.314,5.933,0.049,0.000101859,2,"128"
"59","Martin",0.225698959,0.05474455,0.0000812585,0.0033316,0.05706719,0.042095305,0.12794833,0.063922263,18830.04029,206.8898851,1486.776042,2.931,0.2,0.039,21.732,28.615,4.538,0.225,0.073,0.694,0.219,1.416,2.107,0.02,0.000586098,3,"176"
"60","Mecklenburg",0.019260211,0.011190546,0.000114423,0.002508719,0,0.0000600719,0.00040048,0.118930303,2296.1504,152.3192851,222.6808223,2.196,0.139,0.049,18.742,58.753,23.931,0.913,0.688,0.874,2.107,5.212,5.551,0.036,0.000399739,3,"4,064"
"61","Mitchell",0.034754265,0.013504997,0.000133643,0.002096088,0.000196948,0.004332853,0.000316523,0.007309549,150.13422,71.4,32.7052,1.498,0.214,0.049,13.314,63.907,17.34,0.648,0.975,0.66,1.529,4.045,5.315,0.03,0.000382482,1,"101"
"62","Montgomery",0.022392179,0.014290627,0.0000903287,0.017751151,0.001202306,0.0014328,0.000632716,0.009791141,2230.209091,268.5380553,297.680647,7.356,0.976,0.061,20.013,39.679,20.881,0.441,0.257,0.445,1.066,3.001,4.245,0.027,0.000447394,3,"184"
"63","Moore",0.03968746,0.075134712,0.00025242,0.013761301,0.002608337,0.00110489,0.002048142,0.003829493,8771.8992,77.3056,626.51934,5.487,0.359,0.053,24.197,23.247,10.48,0.317,0.124,0.583,0.298,1.544,2.47,0.032,0.000334363,3,"711"
"64","Nash",0.247698387,0.230023126,0.000322468,0.034040497,0.035693144,0.03193582,0.072178062,0.209740905,32300.67053,272.8346851,1682.948942,3.214,0.157,0.051,30.158,35.089,5.224,0.163,0.074,0.549,0.211,1.719,2.173,0.014,0.000674903,3,"497"
"65","New Hanover",0.007985942,0.003011405,0.000138182,0.001743947,0.002934009,0.000328777,0.000967906,0.012371858,1801.05807,NA,127.5370071,3.669,0.388,0.518,82.447,65.736,10.687,0.077,0.057,0.629,0.317,0.802,1.205,0.037,0.000374282,3,"1,063"
"66","Northampton",0.245486256,0.066298628,0.0000766196,0.014830143,0.029714203,0.033621801,0.09602702,0.01937793,10995.3916,88.2246,803.0514871,1.885,0.162,0.076,19.726,24.918,4.865,0.15,0.065,0.667,0.166,1.448,2.054,0.009,0.000498053,3,"151"
"67","Onslow",0.067534753,0.026422306,0.000123822,0.006713921,0.006497232,0.002043068,0.008855015,0.029418519,42141.2278,125.031,3904.266147,1.315,0.177,0.019,11.23,9.513,2.17,0.127,0.027,0.513,0.153,0.523,1.041,0.01,0.0000997639,3,"642"
"68","Orange",0.075572175,0.069894039,0.000393341,0.008123863,0.003863314,0.000299874,0,0.026074113,3938.88466,74.6016,370.61028,3.542,0.278,0.052,21.206,44.298,17.81,0.834,0.372,0.594,1.307,3.482,5.262,0.028,0.000126875,3,"604"
"69","Pamlico",0.122893414,0.040150425,0.0000303543,0.001089075,0.006796681,0.012246569,0.011851964,0.030645701,61023.31183,12196.527,7682.28566,3.875,0.219,0.041,18.619,30.799,3.246,0.56,0.134,0.599,0.449,1.45,3.405,0.017,0.000154631,3,"116"
