"","County","PM10_mean","PM25_mean","NO2_mean","SO2_mean","O3_mean","CO_mean","BENZENE","TOLUENE","XYLENES","Pb","Hg","As","WaterCR","Cd","Air","PCB","HCB","EOx","VyCl","TRICHLORENE","C2CL4","DCM","C3H3N","Benzidine","24D","ATRAZINE","HCCPD","pct_manure_acres","Herbicides","Fungicides","Insecticides","Per_TotPopSS_ave","med_hh_inc","pct_pers_lt_pov","med_hh_value","pct_unemp","pct_hs_more","pct_mt_10units","med_rooms","violent_rate","work_out_co"
"3047","Adams",8.3941325425,8.7044777089,537.57256608,375.53957169,7931.6272678,366.5988153,0.5,0.5,0.5,0.0004993808,0.0005545944,0.001,0.001,0.0000301877,0.0000550168,0,0,0.0045180593,0.000088475,0.5,0.5,0.5,0.0029416194,0.0000000066,0,0,0,0.013468849,52858.8288,139113.6774,15175.47564,79.77,33408,10.4,83600,7.8,76.7,1.5,4.8,103.46216,54.4
"3048","Ashland",7.0799858484,6.0861522754,141.00860616,38.898543812,5136.0895813,167.2098045,0.5,0.79,0.5,0.0005508103,0.0005116462,0.002,0.002,0.0000362324,0.0000954301,0.1,0.1,0.0008952848,0.0047804066,0.5,0.5,0.5,0.0006671153,0.0000000061875,0.1,0.1,0.1,0.00351093,1218.2766,49.5972,61.13968,41.19,31628,11.9,60400,8.1,84.1,4.6,5,128.78815,14.5
"3049","Barron",6.9114322126,6.9055479217,320.64207993,79.089577619,6222.2970038,321.24945778,0.5,0.36,0.68,0.0006087329,0.0005228236,0.002,0.001,0.0000449657,0.0000644199,0,0,0.0012112616,0.0004433083,0.5,0.5,0.5,0.000711046,0.0000000066,0,0,0,0.110394289,114128.2343,21644.0931,6578.61608,55.69,37275,8.8,78000,4.7,82.4,4.6,5.4,0,14.1
"3050","Bayfield",7.360881302,6.0039342452,162.18969051,21.365732327,4938.1524331,193.12627942,0.5,0.5,0.5,0.0003820955,0.0005011308,0.001,0.012,0.0000287877,0.0000444625,0.1,0.1,0.0004388614,0.0000544136,0.5,0.5,0.52,0.0005860436,0.00000000605,0.1,0.1,0.1,0.007117058,3428.88303,17.4498,154.28892,78.62,33390,12.5,86100,8.5,86.9,1,4.9,142.51586,43.2
"3051","Brown",12.721763271,10.553897063,613.84657077,816.72828853,10218.643618,320.68223767,0.5,0.5,0.5,0.0020160005,0.0005663288,0.001,0.145,0.0000874318,0.0007790875,0.1,0.1,0.0050929747,0.0187179946,0.5,0.5,0.5,0.0041705862,0.0000000066,0.1,0.1,0.1,0.132368951,66984.28257,4274.594186,2754.285977,15.45,46447,6.9,116100,3.8,86.3,10.2,5.3,153.93333,8.4
"3052","Buffalo",7.5858303669,8.1661304667,397.92055928,534.88947139,5364.7600423,293.83445102,0.5,0.35,0.45,0.0004449425,0.0005094937,0.001,0.001,0.0000329674,0.0000591895,0,0,0.0018896382,0.0000451327,0.5,0.5,0.5,0.0010405889,0.0000000066,0,0,0,0.093402523,89038.66378,2.613,3481.6844,61.01,37200,7.5,78600,3.8,84.1,3.3,5.8,129.16286,51.6
"3053","Burnett",7.3097899141,6.7588094739,381.19229771,46.857904482,6666.3832679,501.83466197,0.5,0.5,0.5,0.0004987548,0.0005023769,0.003,0.003,0.0000303499,0.0000458998,0.1,0.1,0.0006824954,0.0000082908293,0.5,0.5,0.5,0.0006150537,0.0000000066,0.1,0.1,0.1,0.015194078,23338.01585,18.4275,943.54452,81.01,34218,8.8,87500,5.8,82.8,1.2,4.8,136.15706,33
"3054","Calumet",9.4803360652,9.058183781,817.86169593,1229.2933477,11184.153565,457.24484282,0.5,0.5,0.5,0.001071561,0.0005274348,0.003,0.002,0.0000503268,0.0002454117,0.1,0.1,0.0054050993,0.0050003713,0.5,0.5,0.93,0.0033614059,0.0000000066,0.1,0.1,0.1,0.122467918,65363.06548,168.363,2158.87844,35.07,52569,3.5,109300,2.2,87.3,4.7,5.9,102.9335,59.2
"3055","Chippewa",7.670939704,6.9881389862,275.08175028,142.06529848,5786.7366601,275.88800681,0.5,0.5,0.5,0.0013324879,0.0005151829,0.002,0.002,0.0000383003,0.0001356382,0.1,0.1,0.0015047944,0.0040323253,0.5,0.5,0.5,0.0009641876,0.0000000066,0.1,0.1,0.1,0.08990242,118894.9117,1371.369729,4929.555672,51.96,39596,8.2,88100,4.7,84.3,4.5,5.5,99.099998,34.1
"3056","Clark",6.7708232635,8.4061322306,287.03098123,212.30608432,6153.3376832,278.72406283,0.5,0.5,0.28,0.0004256221,0.0005070786,0.002,0.002,0.0000291114,0.0001481582,0.1,0.1,0.0019020019,0.0003006342,0.4,0.34,0.39,0.0013783934,0.0000000066,0.1,0.1,0.1,0.131155513,117905.3962,81.8085,4583.73904,64.19,34577,12.7,64700,4.1,75.4,2.8,5.8,0,33.4
